product link,product name,product cost,product review,no of reviews
/COSMUS-Polyester-Black-School-Backpack/dp/B078MFYJ3M,COSMUS Heavy Duty School Bag Norwich 33L waterproof Backpacks Bag With laptop compartment,"1,196",4.2 out of 5 stars,434
/Mokobara-Briefcase-Resistant-Compartment-Messenger/dp/B0B6CTQDR8,"MOKOBARA The Briefcase - 15.6"" Blue Laptop Messenger Bag for Men & Women","5,199",4.4 out of 5 stars,348
/AirCase-C40-Backpack-Rucksacks-Messenger/dp/B07Y8CH69Y,"AirCase Laptop bag backpack cum messenger bag, Dark Grey, fits upto 15.6 inch laptop, multiple compartment, padded shoulder strap, office bag/casual backpack/travel backpack, 1 year warranty",899,3.4 out of 5 stars,155
/Half-Moon-Eclipse-Backpack-Compartment/dp/B0BZMKTWSJ,Half Moon Eclipse Unisex School Bags for Boys Girls Laptop Bag/Backpack for Men Women Daypack College Bag with Never Fading Print and 15.6 inch Laptop Compartment,529,3.6 out of 5 stars,16
/Stylbase-Iron-man-Polyester-Character-Embossed/dp/B0BNKZJ5W6,"Stylbase 15 inches Kids 3D Cartoon Backpack - Lightweight, Waterproof, Adjustable Shoulder Straps, 3 Compartments, Bottle Holder - Perfect for School and Outdoor Adventures",469,4.0 out of 5 stars,214
/Trajectory-Messenger-Warranty-Compartment-Expandable/dp/B0BCWH8PLC,Trajectory Vegan Leather 15.6 Inch Laptop Messenger MacBook Office Bag with 2 Years Warranty and Dual Compartment with Expandable Bottom Used Shoulder and Handbag for Men and Women,"1,329",4.3 out of 5 stars,217
/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,600",4.0 out of 5 stars,586
/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YB2S3,"Genie Royale Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",999,4.0 out of 5 stars,10
/Gear-Black-Casual-Backpack-BKPCMPUS10110/dp/B00Z9427SK,Gear Campus1 22L Medium Water Resistant School Bag/ College Bag/ Backpack For Men/Women (Black- Royal Blue),595,4.3 out of 5 stars,"4,026"
/HAMMONDS-FLYCATCHER-unisex-adult-Messenger-Brown/dp/B0916DLR8B,HAMMONDS FLYCATCHER unisex-adult Messenger Bag (Brown),"2,178",4.3 out of 5 stars,"1,068"
/NIVIA-Polyester-Shoulder-Compartment-Accessories/dp/B07NJGW3WX,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue),489,4.0 out of 5 stars,144
/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X8BYQJ,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","6,799",4.6 out of 5 stars,126
/Mammon-Womens-Handbag-plain-tan-35x35/dp/B07LBC7Z59,Mammon Women's Tote Bag,209,3.6 out of 5 stars,"2,792"
/FLYNGO-Insulated-School-Tiffine-Storage/dp/B0CJR5Z3ZB,"FLYNGO Insulated Lunch Bag for Kids School, Men, Women Office, Travel Tiffine Pouch for Lunch Box, Heat&Cold Insulated Storage Bag (Blue Leaf)",245,4.9 out of 5 stars,27
/amazon-basics-Backpack-Anti-Theft-Charging/dp/B0C8NT6GMJ,"amazon basics Laptop Bag/Office/College Backpack for 15.6 inch laptop, Anti-Theft Design, USB Charging Port (18 L)",719,4.6 out of 5 stars,175
/Trajectory-Messenger-Warranty-Compartment-Expandable/dp/B0BCWH8PLC,Trajectory Vegan Leather 15.6 Inch Laptop Messenger MacBook Office Bag with 2 Years Warranty and Dual Compartment with Expandable Bottom Used Shoulder and Handbag for Men and Women,"1,329",4.3 out of 5 stars,217
/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3,"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","2,583",4.4 out of 5 stars,"2,025"
/Swiss-Military-Travel-Backpack-Hardshell/dp/B0C3MHG797,"Swiss Military Hard Shell Travel Backpack UFO, Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop","3,299",3.7 out of 5 stars,24
/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL,Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,699,4.0 out of 5 stars,"1,345"
/Half-Moon-Resistant-Backpack-Compartment/dp/B0CKY4GLDB,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,469,4.3 out of 5 stars,17
/PureWild-Waterproof-Polyester-Backpack-BACKPACK/dp/B0B6GQSZRX,PureWild 41 Ltrs 27 cms Casual Printed Stylish Waterproof Polyester School College Backpack/School Bag/Laptop Backpack For Boys & Girls,490,3.8 out of 5 stars,459
/DZert-Polyester-Pink-School-Backpack/dp/B077VFZHLL,DZert School Bag Backpack 30 Liters for Boys/Girls Polyester Lightweight Bag (Pink),319,3.6 out of 5 stars,"1,972"
/WILDHORN-Leather-inches-Messenger-MB570/dp/B07M9NKYVK,WildHorn Leather Messenger Bag for Men/Office Bag for Men I Padded Laptop Compartment with Adjustable Strap I DIMENSION : L-14 inch W-3 inch H-11 inch,"2,309",3.9 out of 5 stars,266
